,Title,Year,fandom,Media
12,20TH CENTURY BOYS,1999,20th Century Boys,Manga
32,86 (86: EIGHTY-SIX),2017,86,Manga
3391,86: OPERATION HIGH SCHOOL,2020,86,Manga
55,86 PART 286 EIGHTY-SIX PART 2,2021,86,Anime
256,8686 EIGHTY-SIX,2021,86,Anime
6473,86: FRAGMENTAL NEOTENY,2021,86,Manga
169,YUBISAKI TO RENREN (A SIGN OF AFFECTION),2019,A Sign of Affection,Manga
2761,A3! SEASON AUTUMN & WINTER,2020,A3,Anime
3620,A3! SEASON SPRING & SUMMER,2020,A3,Anime
1462,KIDOU KEISATSU PATLABOR (MOBILE POLICE PATLABOR),1988,ATLA,Manga
1223,KIDOU KEISATSU PATLABOR: ON TELEVISIONPATLABOR: THE MOBILE POLICE - THE TV SERIES,1989,ATLA,Anime
9072,POPCORN AVATAR,2009,ATLA,Manga
1742,QUANZHI GAOSHOU (THE KING'S AVATAR),2015,ATLA,Manga
3302,SPIDER-MAN: ITSUWARI NO AKA (SPIDER-MAN: FAKE RED),2019,ATSV,Manga
5580,GYAKUTEN SAIBAN OFFICIAL ANTHOLOGY COMIC: MITSURUGI-HEN (PHOENIX WRIGHT: ACE ATTORNEY OFFICIAL CASEBOOK VOL.2 - THE MILES EDGEWORTH FILES),2006,Ace Attorney,Manga
6415,GYAKUTEN SAIBAN OFFICIAL ANTHOLOGY COMIC: NARUHODOU-HEN (PHOENIX WRIGHT: ACE ATTORNEY OFFICIAL CASEBOOK VOL.1 - THE PHOENIX WRIGHT FILES),2006,Ace Attorney,Manga
5185,GYAKUTEN KENJI (MILES EDGEWORTH: ACE ATTORNEY INVESTIGATIONS),2009,Ace Attorney,Manga
3386,"GYAKUTEN SAIBAN: SONO ""SHINJITSU"", IGI ARI! SEASON 2ACE ATTORNEY SEASON 2",2018,Ace Attorney,Anime
399,DIAMOND NO ACE (ACE OF THE DIAMOND),2006,Ace of Diamond,Manga
456,DIAMOND NO ACEACE OF DIAMOND,2013,Ace of Diamond,Anime
253,DIAMOND NO ACE: SECOND SEASONACE OF DIAMOND: SECOND SEASON,2015,Ace of Diamond,Anime
106,DIAMOND NO ACE ACT II (ACE OF THE DIAMOND ACT II),2015,Ace of Diamond,Manga
285,DIAMOND NO ACE: ACT IIACE OF DIAMOND ACT II,2019,Ace of Diamond,Anime
3947,SHOUJO KAKUMEI UTENA: ADOLESCENCE MOKUSHIROKU (REVOLUTIONARY GIRL UTENA: THE ADOLESCENCE OF UTENA),,Ado,Manga
6876,ZELDA NO DENSETSU: MUGEN NO SUNADOKEI (THE LEGEND OF ZELDA: PHANTOM HOURGLASS),,Ado,Manga
9044,HISSATSU! MADONNA DENSETSU,,Ado,Manga
9224,AKUMA NO OMISE: SHADOW & MARIA (NIGHTMARES FOR SALE),,Ado,Manga
2528,IMADOKI! (NOWADAYS),0 to,Ado,Manga
439,ADOLF NI TSUGU (MESSAGE TO ADOLF),1982,Ado,Manga
4272,"MAKIBA NO SHOUJO KATRIKATRI, GIRL OF THE MEADOWS",1984,Ado,Anime
7349,"UMI NO YAMI, TSUKI NO KAGE (DARKNESS OF THE SEA, SHADOW OF THE MOON)",1987,Ado,Manga
2716,MADOU KING GRANZORTMADO KING GRANZORT,1989,Ado,Anime
3812,SHADOW SKILL: EIGI,1998,Ado,Anime
4461,NARUTARU: MUKURO NARU HOSHI TAMA TARU KO (SHADOW STAR☆),1998,Ado,Manga
8298,KAKAN NO MADONNA,2 to,Ado,Manga
2915,BRIGADOON: MARIN TO MELANBRIGADOON,2000,Ado,Anime
4707,SUMEBA MIYAKO NO COSMOS-SOU SUTTOKO TAISEN DOKKOIDADOKKOIDA?!,2003,Ado,Anime
