,fandom,other_fandom,name,circle_code,event,circle_facebook,circle_instagram,circle_twitter,circle_other_socials,sampleworks_images,substring
1057,SEVENTEEN,"BTS, SEVENTEEN, NCT, DREAMCATCHER, THE BOYZ, AESPA, LE SSERAFIM, NEW JEANS, TXT, IVE, GIDLE, ENHYPEN, WEAK HERO, 2521, ORIGINAL ART",Sangpum Mart,L-20ab,CF17,,"https://instagram.com/asoftstarlight, https://instagram.com/jipartsy, https://instagram.com/cwittea, https://instagram.com/icycho.co",,,,2521
628,KPOP,"ANIME & MANGA (CARDCAPTOR SAKURA, CHAINSAW MAN, KOCCHIMUITTE! MIIKO, KOMI-SAN CAN'T COMMUNICATE, ONE PIECE, SHOWA ERA ANIME, STUDIO GHIBLI, SPY X FAMILY, TAMAGOTCHI), CAPYBARA, MARVEL, HAPPY CAT + BANANA CAT MEME, ANIMATION/FILMS/PROJECTS (AKIRA, ARI ASTER FILMS, HAZBIN HOTEL, HELLUVA BOSS, THE AMAZING DIGITAL CIRCUS, SCOTT PILGRIM, POKEMIKU PROJECT VOLTAGE, SPIKE JONZE FILMS, WES ANDERSON FILMS, WONG KAR WAI FILMS), GAMES (ACNH, DEGREES OF LEWDITY, FIVE NIGHTS AT FREDDY'S, GENSHIN IMPACT, IDENTITY V, KIRBY, RAGNAROK ONLINE, SEAL ONLINE, VALORANT), ORIGINAL ARTS, OC, CUTE ANIMALS, KPOP/KOREAN SCENE (AESPA, BIBI, BLACKPINK, BTS, CODEKUNST, DPR IAN, DPR LIVE, (G)I-DLE, IU, LE SSERAFIM, NCT, NCT 127, NEWJEANS, PLAVE, RED VELVET, SEVENTEEN, WAVE TO EARTH, WINNER, MORE KHH&KRNB), JPOP (ADO, BABYMETAL, FUJII KAZE, XG), NIKI, SABRINA CARPENTER",monstre planet,G-37ab,CF18,-,"https://instagram.com/adoredthree/ , instagram.com/monstreplanet , instagram.com/mrsabamiso/ , instagram.com/norayaki__/, instagram.com/peacherpeach.pins/, https://www.instagram.com/peacherpeachy/","twitter.com/adoredthree, twitter.com/monstreplanet, twitter.com/MrSabamiso, twitter.com/peacherpeach_p, twitter.com/peacherpeachy","tiktok.com/@adoredthree, tiktok.com/@peacherpeachy",,BIBI
371,JUJUTSU KAISEN,"JJK, HONKAI, ATSV, STL, CSM, BP, WHA, GENSHIN, TRIGUN, GOLDEN KAMUY, IDOLISH 7, OC",SISKAMLING DEBIRU HANTA,C-54ab,CF17,,https://www.instagram.com/ruesttt/?hl=en,https://twitter.com/ruestttt,,,BP
679,NU CARNIVAL,"ORV, TEARS OF THEMIS",Himatachi,G-36b,CF17,,https://instagram.com/fifirara?igshid=MzNlNGNkZWQ4Mg==,,,,CARNIVAL
159,HONKAI STAR RAIL,"GENSHIN IMPACT, HAIKYUU, TEARS OF THEMIS, NU:CARNIVAL, NIJISANJI EN, ONE PIECE, BUNGOU STRAY DOGS, YURI ON ICE, DR.STONE, ENSEMBLE STARS",Soumeki A,AE-21/AE-22,CF17,https://www.facebook.com/SR.Soumeki,https://www.instagram.com/sr_soumeki/,https://twitter.com/SR_Soumeki,,,CARNIVAL
189,HONKAI STAR RAIL,"GENSHIN IMPACT, HAIKYUU, TEARS OF THEMIS, NU:CARNIVAL, NIJISANJI EN, ONE PIECE, BUNGOU STRAY DOGS, YURI ON ICE, DR.STONE, ENSEMBLE STARS",Soumeki B,AF-11,CF17,https://www.facebook.com/SR.Soumeki,https://www.instagram.com/sr_soumeki/,https://twitter.com/SR_Soumeki,,,CARNIVAL
248,ORIGINAL,"GENSHIN IMPACT, ARKNIGHTS, MONSTER HUNTER, GRANBLUE FANTASY, HONKAI STAR RAIL, NU:CARNIVAL, HORROR RPG, DMMD, NIJISANJI EN",~La Creatura~,B-13ab,CF17,,,,,,CARNIVAL
443,BOCCHI THE ROCK,"DANMEI, OMNISCIENT READER'S VIEWPOINT, NU CARNIVAL, BLUE ARCHIVE, GENSHIN IMPACT, HONKAI STAR RAIL, ZUTOMAYO, EVANGELION, ML, POKEMON, GUDETAMA, BLUE LOCK, HONEYWORKS, SKIP AND LOAFER, K-ON",Bekhachi,D-46ab (SUN),CF17,,,https://twitter.com/Kuronichi285,,,CARNIVAL
481,NIJISANJI,"NU: CARNIVAL, ORIGINAL, GENSHIN IMPACT, HONKAI STAR RAIL",Cafe Au Lait,E-10b (SAT),CF17,,https://www.instagram.com/cafeaulaitte/?hl=en,,,,CARNIVAL
527,PROJECT SEKAI,"NIJISANJI, RUNE FACTORY, NU:CARNIVAL, ANIME, GENSHIN",Consonant of Sky,E-43a (SAT),CF17,,,https://twitter.com/konachaa17,,,CARNIVAL
